X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,NotAVase,,,,,,20230122-145113,145119488,145119692,0.2032885,9992,,"",0,,1
1,101,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,145120466,145130453,-1,101,,"",0,,1
2,33029,0,0,NotAVase,0.085,0,1,0.085,1,20230122-145113,145142885,145147997,5.112311,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0850000000   Staircase is 0.0637500000  ,-1,145146314,1
2,33029,0,1,NotAVase,0.06375,1,1,0.06375,2,20230122-145113,145230693,145243931,13.23751,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0637500000   Staircase is 0.0850000000  ,-1,145146307,1
3,33027,0,0,NotAVase,0.05525,0,1,0.05525,3,20230122-145113,145302413,145304774,2.36101,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0386750000  ,-1,145303698,1
4,330201,1,1,NotAVase,0.0359125,1,0,0.0359125,4,20230122-145113,145313684,145316457,2.772967,88,, Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.0359125000   Staircase is 0.0359125000  ,1,145315439,1
4,330201,1,0,NotAVase,0.0359125,1,1,0.0359125,5,20230122-145113,145325212,145327262,2.050253,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700  ,-1,145326552,1
4,330201,1,1,NotAVase,0.02693437,2,1,0.02693437,6,20230122-145113,145336070,145337655,1.585247,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0359125000  ,1,145337116,1
4,330201,1,1,NotAVase,0.0359125,3,1,0.0359125,7,20230122-145113,145346509,145350725,4.216596,88,, Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.0359125000   Staircase is 0.0359125000  ,1,145349995,1
4,330201,1,0,NotAVase,0.0359125,3,2,0.0359125,8,20230122-145113,145359535,145402563,3.028982,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700  ,-1,145401887,1
4,330201,1,1,NotAVase,0.02693437,4,2,0.02693437,9,20230122-145113,145420992,145424272,3.280021,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0359125000  ,1,145423786,1
4,330201,1,1,NotAVase,0.0359125,5,2,0.0359125,10,20230122-145113,145433760,145435687,1.927022,88,, Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.0359125000   Staircase is 0.0359125000  ,1,145434681,1
4,330201,1,1,NotAVase,0.0359125,6,2,0.0359125,11,20230122-145113,145444777,145456686,11.90829,88,, Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.0359125000   Staircase is 0.0359125000  ,1,145452292,1
4,330201,1,0,NotAVase,0.0359125,6,3,0.0359125,12,20230122-145113,145506040,145507301,1.260839,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700  ,-1,145506901,1
4,330201,1,1,NotAVase,0.02693437,7,3,0.02693437,13,20230122-145113,145517465,145520316,2.850915,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0359125000  ,1,145519864,1
4,330201,1,1,NotAVase,0.0359125,8,3,0.0359125,14,20230122-145113,145529906,145534019,4.11287,88,, Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.0359125000   Staircase is 0.0359125000  ,1,145533013,1
4,330201,1,0,NotAVase,0.0359125,8,4,0.0359125,15,20230122-145113,145542495,145544857,2.361414,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700  ,-1,145543332,1
5,11,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,145545630,145555628,-1,11,,"",0,,1
6,99,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,145614655,145619658,-1,50,,"",0,,1
10,22,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,150025263,150035263,-1,22,,"",0,,1
11,99,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,150045075,150050074,-1,50,,"",0,,1
12,29029,0,0,NotAVase,0.6,0,1,0.6,33,20230122-145113,150059008,150103245,4.236579,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4500000000  ,-1,150102682,1
12,29029,0,0,NotAVase,0.45,0,2,0.45,34,20230122-145113,150125625,150126854,1.229321,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.3375000000  ,-1,150126483,1
13,29027,0,0,NotAVase,0.39,0,1,0.39,35,20230122-145113,150135654,150136853,1.198813,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2730000000  ,-1,150136515,1
14,290201,3,0,NotAVase,0.2535,0,1,0.2535,36,20230122-145113,150145270,150147264,1.993302,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000  ,-1,150136514,1
